City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
89,Arraial Do Cabo,BR,2021-06-25 15:23:33,-22.9661,-42.0278,Clear,clear sky,78.76,61,0,20.71,0,0
90,Airai,TL,2021-06-25 15:23:33,-8.9266,125.4092,Clouds,few clouds,58.77,94,24,2.73,0,0
91,Nabire,ID,2021-06-25 15:23:34,-3.3667,135.4833,Clouds,overcast clouds,75.69,91,100,3.38,0,0
92,Sao Filipe,CV,2021-06-25 15:23:34,14.8961,-24.4956,Clear,clear sky,77.86,71,9,5.61,0,0
93,Port Lincoln,AU,2021-06-25 15:23:34,-34.7333,135.8667,Clouds,overcast clouds,52.43,67,97,11.92,0,0
94,Bethel,US,2021-06-25 15:23:35,41.3712,-73.414,Clouds,overcast clouds,71.89,83,90,0.0,0,0
95,Alice Springs,AU,2021-06-25 15:23:35,-23.7,133.8833,Clear,clear sky,40.55,87,0,5.75,0,0
96,San Cristobal,VE,2021-06-25 15:23:35,7.7669,-72.225,Clouds,overcast clouds,77.18,55,100,4.65,0,0
97,Cravo Norte,CO,2021-06-25 15:23:36,6.3017,-70.2041,Clouds,overcast clouds,84.24,68,99,0.47,0,0
98,Avarua,CK,2021-06-25 15:23:36,-21.2078,-159.775,Rain,moderate rain,75.25,88,40,6.91,0,0
99,Lasem,ID,2021-06-25 15:23:36,-6.6922,111.4527,Clouds,broken clouds,78.73,83,65,6.04,0,0
100,San Patricio,US,2021-06-25 15:23:37,28.017,-97.5169,Clear,clear sky,89.02,64,7,15.52,0,0
101,Madera,US,2021-06-25 15:23:37,37.1666,-119.8343,Clear,clear sky,82.98,48,0,1.99,0,0
102,Hokitika,NZ,2021-06-25 15:23:38,-42.7167,170.9667,Clouds,overcast clouds,58.59,97,100,13.18,0,0
103,Burnie,AU,2021-06-25 15:23:38,-41.0667,145.9167,Clouds,few clouds,47.91,87,22,7.78,0,0
104,Aberdeen,GB,2021-06-25 15:23:38,57.1437,-2.0981,Clouds,overcast clouds,52.29,88,90,18.41,0,0
105,Doha,QA,2021-06-25 15:23:39,25.2867,51.5333,Clear,clear sky,107.91,33,0,6.91,0,0
106,Tilichiki,RU,2021-06-25 15:23:39,60.4667,166.1,Clouds,scattered clouds,47.17,90,34,0.45,0,0
107,Ribeira Grande,PT,2021-06-25 15:23:39,38.5167,-28.7,Clouds,few clouds,72.0,68,20,11.5,0,0
108,Esperance,AU,2021-06-25 15:23:40,-33.8667,121.9,Clear,clear sky,51.57,66,0,9.66,0,0
109,Lagoa,PT,2021-06-25 15:23:40,39.05,-27.9833,Clear,clear sky,66.92,75,1,3.42,0,0
110,Havre-Saint-Pierre,CA,2021-06-25 15:23:40,50.2334,-63.5986,Clear,clear sky,68.59,59,1,6.91,0,0
111,Saint-Philippe,RE,2021-06-25 15:23:41,-21.3585,55.7679,Clouds,few clouds,69.39,80,13,10.8,0,0
112,Ponta Do Sol,PT,2021-06-25 15:23:41,32.6667,-17.1,Clear,clear sky,73.71,60,5,2.46,0,0
113,Saint Anthony,US,2021-06-25 15:14:05,45.0205,-93.218,Clear,clear sky,79.9,47,1,5.75,0,0
114,Calabozo,VE,2021-06-25 15:23:41,8.9242,-67.4293,Clouds,broken clouds,82.35,76,83,4.79,0,0
115,Kudahuvadhoo,MV,2021-06-25 15:21:15,2.6708,72.8944,Clouds,overcast clouds,83.21,73,100,11.72,0,0
116,Geraldton,AU,2021-06-25 15:23:42,-28.7667,114.6,Clear,clear sky,45.01,87,10,12.66,0,0
117,San Carlos,VE,2021-06-25 15:22:45,9.6612,-68.5827,Clouds,broken clouds,83.05,72,66,3.38,0,0
118,Husavik,IS,2021-06-25 15:23:42,66.0449,-17.3389,Rain,moderate rain,60.71,52,100,11.81,0,0
119,Varzea Da Palma,BR,2021-06-25 15:23:43,-17.5981,-44.7308,Clear,clear sky,85.73,26,3,3.56,0,0
120,Ayacucho,PE,2021-06-25 15:23:43,-13.1583,-74.2239,Clear,clear sky,60.66,36,0,3.44,0,0
121,Te Anau,NZ,2021-06-25 15:23:43,-45.4167,167.7167,Clouds,broken clouds,47.93,93,83,1.59,0,0
122,Seydi,TM,2021-06-25 15:23:44,39.4816,62.9137,Clear,clear sky,88.66,8,0,13.0,0,0
123,Verkhoyansk,RU,2021-06-25 15:23:44,67.5447,133.385,Clouds,broken clouds,64.65,47,59,2.95,0,0
124,Mar Del Plata,AR,2021-06-25 15:23:44,-38.0023,-57.5575,Clear,clear sky,60.01,58,0,3.0,0,0
125,Novyy Urgal,RU,2021-06-25 15:23:45,51.0736,132.5642,Clouds,overcast clouds,59.68,96,100,2.64,0,0
126,Dalvik,IS,2021-06-25 15:23:45,65.9702,-18.5286,Clouds,overcast clouds,60.73,57,99,16.04,0,0
127,Provideniya,RU,2021-06-25 15:23:45,64.3833,-173.3,Clouds,overcast clouds,47.01,70,90,3.67,0,0
128,Roald,NO,2021-06-25 15:23:46,62.5833,6.1333,Clouds,broken clouds,60.17,82,75,20.71,0,0
129,Warwick,US,2021-06-25 15:21:12,41.7001,-71.4162,Fog,fog,72.27,94,90,4.61,0,0
130,Merauke,ID,2021-06-25 15:23:46,-8.4667,140.3333,Clouds,scattered clouds,76.06,81,34,14.27,0,0
131,Hauterive,FR,2021-06-25 15:23:46,46.0901,3.4459,Clear,clear sky,73.02,47,5,2.66,0,0
132,Khani,GE,2021-06-25 15:23:47,41.9563,42.9566,Clouds,scattered clouds,67.57,76,27,5.5,0,0
133,Anaconda,US,2021-06-25 15:23:47,46.1285,-112.9423,Clouds,overcast clouds,63.97,68,93,1.03,0,0
134,Khatanga,RU,2021-06-25 15:23:47,71.9667,102.5,Clouds,overcast clouds,50.63,46,100,13.31,0,0
135,Huarmey,PE,2021-06-25 15:23:48,-10.0681,-78.1522,Clouds,overcast clouds,66.34,75,91,8.21,0,0
136,Saint-Augustin,CA,2021-06-25 15:23:48,51.226,-58.6502,Clouds,overcast clouds,68.18,55,91,21.85,0,0
137,Dunedin,NZ,2021-06-25 15:23:48,-45.8742,170.5036,Clouds,overcast clouds,51.8,91,100,1.01,0,0
138,Tasiilaq,GL,2021-06-25 15:23:49,65.6145,-37.6368,Clouds,scattered clouds,57.36,58,30,11.63,0,0
139,Bambous Virieux,MU,2021-06-25 15:23:49,-20.3428,57.7575,Rain,light rain,73.22,68,75,5.75,0,0
140,Victoria,HK,2021-06-25 15:19:29,22.2855,114.1577,Clouds,overcast clouds,82.38,92,100,1.01,0,0
141,Kindu,CD,2021-06-25 15:23:49,-2.95,25.95,Clouds,broken clouds,86.76,45,75,2.48,0,0
142,Port Macquarie,AU,2021-06-25 15:23:50,-31.4333,152.9167,Clouds,scattered clouds,55.89,68,37,7.72,0,0
